State,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,eof
57,e57,e57,e57,e57,r27,e57,e57,e57,e57,r27,r27,e57,e57,e57,e57,r27,e57,e57,e57,e57,r27,r27,r27,r27,e57
58,e58,e58,e58,e58,r28,e58,e58,e58,e58,r28,r28,e58,e58,e58,e58,r28,e58,e58,e58,e58,r28,r28,r28,r28,e58
59,e59,e59,e59,e59,r29,e59,e59,e59,e59,r29,r29,e59,e59,e59,e59,r29,e59,e59,e59,e59,r29,r29,r29,r29,e59
60,e60,e60,e60,e60,r34,e60,e60,e60,e60,r34,r34,e60,e60,e60,e60,r34,e60,e60,e60,e60,e60,r34,e60,r34,e60
61,e61,e61,e61,e61,r35,e61,e61,e61,e61,r35,r35,e61,e61,e61,e61,r35,e61,e61,e61,e61,e61,r35,e61,r35,e61
62,e62,e62,e62,e62,r36,e62,e62,e62,e62,r36,r36,e62,e62,e62,e62,r36,e62,e62,e62,e62,e62,r36,e62,r36,e62
63,e63,e63,e63,e63,e63,e63,e63,e63,e63,e63,e63,e63,e63,e63,e63,e63,e63,s70,e63,e63,e63,e63,e63,e63,e63
64,e64,e64,e64,e64,e64,e64,e64,e64,e64,e64,e64,e64,e64,e64,e64,e64,e64,e64,e64,s71,e64,e64,e64,e64,e64
65,e65,e65,e65,e65,e65,e65,e65,e65,e65,e65,e65,e65,e65,e65,e65,e65,e65,s72,e65,e65,e65,e65,e65,e65,e65
66,e66,e66,r5,e66,e66,e66,r5,r5,r5,e66,e66,e66,e66,e66,e66,e66,e66,e66,e66,e66,e66,e66,e66,e66,e66
67,e67,e67,e67,e67,s50,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67,e67
68,e68,e68,e68,e68,r18,e68,e68,e68,e68,r18,r18,e68,e68,e68,e68,r18,e68,e68,e68,e68,r18,r18,r18,r18,e68
69,e69,e69,e69,e69,s55,e69,e69,e69,e69,e69,e69,e69,s56,e69,e69,e69,e69,e69,e69,e69,e69,e69,e69,e69,e69
70,e70,e70,e70,e70,e70,e70,e70,e70,e70,e70,e70,e70,e70,e70,e70,e70,e70,e70,s75,e70,e70,e70,e70,e70,e70
71,e71,e71,e71,e71,s55,e71,e71,e71,e71,e71,e71,e71,s56,e71,e71,e71,e71,e71,e71,e71,e71,e71,e71,e71,e71
72,e72,e72,e72,e72,r33,e72,e72,e72,e72,r33,r33,e72,e72,e72,e72,r33,e72,e72,e72,e72,e72,e72,r33,e72,e72
73,e73,e73,e73,r6,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73,e73
74,e74,e74,e74,r19,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74,e74
75,e75,e75,e75,e75,r25,e75,e75,e75,e75,r25,r25,e75,e75,e75,e75,r25,e75,e75,e75,e75,r25,e75,e75,e75,e75
76,e76,e76,e76,e76,e76,e76,e76,e76,e76,e76,e76,e76,e76,e76,e76,e76,e76,r26,e76,e76,e76,e76,e76,e76,e76
